TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType,Location,IP Address,Channel,CustomerOccupation,Cluster_KMeans
442.12,19.0,260.0,1.0,1375.8000000000002,Debit,Los Angeles,168.36.49.167,Online,Student,3
644.17,29.0,72.0,1.0,1143.52,Debit,San Antonio,165.38.56.205,ATM,Engineer,0
508.68,51.0,127.0,1.0,7708.41,Credit,Mesa,193.108.17.115,Branch,Engineer,1
858.6300000000001,27.0,185.0,1.0,1872.96,Credit,San Francisco,175.230.206.232,Branch,Student,3
25.360000000000014,57.0,78.0,1.0,201.03999999999996,Debit,Louisville,62.152.134.92,ATM,Engineer,0
147.62,71.0,133.0,1.0,2115.8,Debit,Charlotte,149.84.108.18,Branch,Retired,3
115.01999999999998,37.0,175.0,1.0,7643.66,Debit,San Antonio,134.222.122.238,Branch,Doctor,1
383.37,30.0,24.0,1.0,8901.93,Debit,Fort Worth,18.72.115.111,Branch,Engineer,2
98.54000000000002,20.0,167.0,1.0,9383.43,Credit,El Paso,34.125.226.63,Online,Student,1
83.24000000000001,55.0,164.0,1.0,1181.31,Credit,Fort Worth,21.28.32.1,Branch,Doctor,3
196.16,27.0,146.0,1.0,9418.86,Debit,Virginia Beach,204.34.243.93,Branch,Engineer,1
129.94,32.0,235.0,1.0,7954.92,Debit,Las Vegas,111.226.226.202,ATM,Engineer,1
306.9,46.0,51.0,1.0,9418.08,Debit,Colorado Springs,96.115.67.230,Online,Engineer,2
114.98000000000002,59.0,80.0,1.0,6144.68,Debit,Seattle,115.218.48.83,Online,Retired,2
756.59,27.0,17.0,1.0,420.64999999999964,Debit,Sacramento,174.61.77.54,Branch,Student,0
503.76,22.0,35.0,1.0,447.8199999999997,Debit,Los Angeles,216.151.64.40,Online,Student,0
143.03,63.0,147.0,1.0,7981.45,Debit,San Antonio,197.162.55.147,ATM,Retired,1
245.54,25.0,180.0,1.0,985.0599999999995,Debit,New York,44.197.126.59,ATM,Student,3
254.37,51.0,174.0,1.0,8849.26,Credit,Dallas,143.212.47.226,Online,Engineer,1
327.86,40.0,104.0,1.0,480.15999999999985,Debit,Fresno,188.124.181.12,Online,Engineer,0
2.5,47.0,107.0,1.0,12145.27,Debit,San Diego,44.73.3.217,Online,Doctor,2
56.97999999999999,43.0,122.0,2.0,5688.37,Credit,Oklahoma City,101.90.40.193,ATM,Engineer,1
407.65,26.0,62.0,1.0,8346.64,Debit,Boston,98.255.160.110,Online,Engineer,2
115.82999999999996,39.0,167.0,1.0,6481.04,Debit,Fresno,124.6.134.78,Branch,Engineer,1
53.56999999999999,69.0,121.0,1.0,1651.33,Debit,Houston,45.64.74.86,ATM,Retired,3
63.34,46.0,165.0,1.0,11174.94,Credit,Detroit,69.82.61.135,Online,Doctor,1
317.87,27.0,91.0,1.0,145.5,Debit,Detroit,79.227.202.117,Online,Student,0
331.65,41.0,61.0,1.0,4172.57,Debit,Portland,26.240.219.199,Online,Engineer,0
5.0400000000000205,56.0,41.0,1.0,5558.36,Debit,Washington,63.67.150.226,ATM,Retired,2
214.54,70.0,247.0,1.0,11151.53,Credit,Detroit,195.226.203.234,Online,Doctor,1
598.81,57.0,158.0,1.0,1415.52,Debit,Philadelphia,92.214.76.157,Branch,Doctor,3
841.28,26.0,80.0,1.0,1103.6400000000008,Debit,Tucson,101.223.82.253,Online,Student,0
38.14999999999998,26.0,108.0,1.0,303.6800000000003,Debit,Mesa,77.21.150.75,Online,Student,0
124.72,33.0,105.0,1.0,6309.8,Debit,Oklahoma City,147.234.20.46,Branch,Engineer,2
302.45,78.0,40.000000000000014,1.0,5133.61,Credit,San Antonio,203.99.96.114,Branch,Retired,2
5.769999999999982,23.0,254.0,1.0,1117.9700000000003,Credit,Los Angeles,85.240.254.83,Branch,Student,3
381.33,56.0,75.0,1.0,11835.35,Debit,Albuquerque,62.251.170.72,ATM,Doctor,2
486.08,18.0,68.0,1.0,1748.69,Debit,Oklahoma City,138.87.180.254,Online,Student,0
336.39,21.0,18.0,1.0,1000.46,Debit,San Antonio,203.99.96.114,Branch,Student,0
234.57,23.0,120.0,1.0,263.97999999999956,Debit,Chicago,45.182.28.148,Online,Student,3
6.0,30.0,246.0,1.0,5442.76,Debit,Chicago,18.72.115.111,Online,Doctor,1
233.74,66.0,17.0,1.0,1066.5900000000001,Credit,Oklahoma City,96.115.67.230,Online,Retired,0
113.01999999999998,69.0,166.0,1.0,6077.96,Credit,Jacksonville,33.212.169.157,Branch,Retired,1
45.849999999999994,20.0,92.0,1.0,1659.15,Debit,Los Angeles,163.129.70.210,ATM,Student,0
415.5,66.0,141.0,1.0,10113.66,Debit,Memphis,140.212.253.222,ATM,Doctor,1
265.76,54.0,92.0,1.0,4446.17,Debit,Philadelphia,3.157.63.220,Online,Retired,0
69.4,80.0,113.0,1.0,6452.77,Debit,Virginia Beach,216.151.64.40,Online,Retired,2
267.9,20.0,160.0,1.0,596.1599999999999,Debit,San Antonio,216.32.4.105,Online,Student,3
496.03,61.0,265.0,1.0,12904.66,Debit,San Francisco,210.160.90.52,Branch,Doctor,1
376.26,37.0,245.0,1.0,9062.4,Debit,Tucson,82.88.241.226,ATM,Engineer,1
83.01999999999998,36.0,171.0,1.0,9009.56,Credit,Seattle,34.92.221.183,Online,Engineer,1
93.25999999999999,20.0,72.0,1.0,1152.1999999999998,Credit,New York,182.225.2.156,Online,Student,0
803.37,68.0,129.0,1.0,12168.37,Credit,Memphis,191.91.45.159,Branch,Doctor,1
35.75999999999999,23.0,122.0,1.0,611.8599999999997,Debit,Charlotte,111.78.64.133,Branch,Student,3
28.53000000000003,62.0,99.0,1.0,8670.53,Debit,Washington,215.97.143.157,Online,Doctor,2
139.53,53.0,177.0,1.0,10098.86,Credit,Louisville,167.104.180.235,Online,Doctor,1
60.650000000000006,56.0,53.0,1.0,1047.2799999999993,Credit,Tucson,10.144.131.89,Branch,Retired,0
74.86000000000001,70.0,125.0,1.0,6921.48,Debit,Nashville,161.168.126.136,Branch,Doctor,1
117.97,51.0,137.0,1.0,1475.46,Debit,Kansas City,198.39.35.23,Branch,Retired,3
231.91,34.0,165.0,1.0,112.76000000000022,Debit,Memphis,161.71.2.223,ATM,Engineer,3
506.28,53.0,162.0,2.0,1309.9499999999998,Credit,Chicago,110.150.1.201,Online,Retired,3
304.35,31.0,36.0,1.0,4057.1,Debit,Houston,183.39.94.209,Branch,Engineer,0
281.85,22.0,109.0,1.0,1585.98,Debit,Detroit,219.193.239.152,ATM,Student,0
777.88,31.0,17.0,1.0,6825.55,Debit,Houston,139.23.212.102,Branch,Engineer,2
119.18,56.0,96.0,1.0,5516.5,Debit,Los Angeles,7.105.184.86,Branch,Retired,2
177.19,76.0,43.0,1.0,5343.3,Debit,Chicago,130.92.201.49,Online,Retired,2
260.88,22.0,36.0,1.0,903.0500000000002,Debit,Denver,184.59.28.72,Branch,Student,0
169.47,24.0,19.0,1.0,1806.1599999999999,Debit,Chicago,120.170.93.69,Online,Student,0
73.23000000000002,26.0,14.0,1.0,787.7399999999998,Debit,Portland,155.37.19.43,Branch,Student,0
792.57,19.0,164.0,1.0,770.3699999999999,Debit,Baltimore,110.235.207.187,ATM,Student,3
237.06,71.0,46.0,1.0,1182.7700000000004,Debit,Phoenix,61.95.76.233,Online,Retired,0
34.170000000000016,54.0,54.0,1.0,726.5500000000002,Credit,Philadelphia,177.116.108.246,Online,Engineer,0
453.54,58.0,82.0,1.0,12046.3,Debit,Albuquerque,223.32.70.156,ATM,Doctor,2
300.47,73.0,100.0,1.0,7885.64,Debit,Jacksonville,156.173.170.140,Branch,Retired,2
110.92999999999998,19.0,201.0,1.0,1952.35,Credit,Virginia Beach,101.223.82.253,Branch,Student,3
399.21,59.0,109.0,1.0,3210.39,Debit,Portland,30.229.179.194,ATM,Engineer,0
630.36,62.0,52.0,1.0,1363.65,Debit,Mesa,200.22.195.243,ATM,Retired,0
10.939999999999998,60.0,245.0,1.0,1241.9899999999998,Credit,Philadelphia,10.191.172.154,ATM,Engineer,3
215.9,38.0,235.0,1.0,7873.28,Debit,Los Angeles,147.119.62.178,ATM,Doctor,1
226.37,49.0,141.0,1.0,9840.04,Credit,Louisville,206.62.122.93,Branch,Doctor,1
444.89,43.0,101.0,1.0,10328.23,Credit,Las Vegas,42.61.10.112,Branch,Doctor,2
280.57,25.0,24.0,1.0,293.2399999999998,Credit,Virginia Beach,170.225.23.251,Online,Student,0
488.54,52.0,132.0,1.0,7486.63,Debit,Jacksonville,198.24.183.157,Branch,Engineer,1
3.3000000000000114,50.0,131.0,1.0,11385.37,Credit,Los Angeles,116.44.12.250,Branch,Doctor,1
199.39,69.0,165.0,1.0,7264.79,Debit,Colorado Springs,194.88.79.54,Branch,Retired,1
20.360000000000014,62.0,75.0,1.0,2762.48,Debit,Tucson,96.115.67.230,Branch,Retired,0
113.63999999999999,62.0,32.0,1.0,6675.03,Debit,Detroit,31.127.129.152,Online,Retired,2
493.11,53.0,236.0,1.0,7432.99,Debit,Colorado Springs,35.220.238.127,Branch,Retired,1
307.41,19.0,14.0,1.0,1057.0000000000005,Debit,Los Angeles,1.7.29.72,ATM,Student,0
11.180000000000007,43.0,161.0,1.0,5956.89,Debit,Atlanta,16.51.235.240,Online,Doctor,1
313.82,59.0,151.0,1.0,7261.59,Debit,Tucson,179.43.245.131,Branch,Engineer,1
51.0,64.0,107.0,1.0,4943.16,Debit,Seattle,193.217.248.188,Branch,Retired,2
140.98,60.0,100.0,1.0,8127.48,Debit,Memphis,192.95.36.246,Branch,Engineer,2
288.04,68.0,63.0,1.0,1748.02,Debit,Denver,205.69.66.135,ATM,Retired,0
800.55,31.0,108.0,1.0,9660.22,Debit,Oklahoma City,8.244.162.185,ATM,Engineer,2
485.54,46.0,143.0,1.0,6371.51,Debit,Houston,140.212.253.222,ATM,Engineer,1
521.15,54.0,214.0,1.0,9442.47,Debit,Kansas City,166.7.230.111,ATM,Doctor,1
321.79,63.0,61.0,1.0,5959.2,Credit,Raleigh,86.103.2.29,ATM,Retired,2
432.08,40.0,145.0,1.0,11500.62,Debit,El Paso,40.192.99.27,ATM,Doctor,1
694.2,61.0,72.0,1.0,1389.37,Debit,Milwaukee,27.143.109.203,ATM,Retired,0
116.86000000000001,55.0,171.0,1.0,6706.56,Debit,Louisville,184.146.10.88,ATM,Engineer,1
386.81,57.0,149.0,1.0,7175.29,Credit,Detroit,34.169.232.37,Online,Doctor,1
74.88,25.0,202.0,1.0,420.6700000000001,Debit,Atlanta,161.161.26.115,ATM,Student,3
195.76,75.0,99.0,1.0,7323.53,Debit,Philadelphia,119.163.214.161,Branch,Retired,2
134.7,50.0,106.0,1.0,8395.85,Debit,Fort Worth,155.19.119.0,ATM,Doctor,2
890.24,33.0,161.0,1.0,5140.93,Credit,Las Vegas,28.149.72.129,Online,Engineer,1
361.27,63.0,180.0,1.0,7945.57,Debit,Omaha,78.100.105.143,ATM,Doctor,1
131.56,44.0,42.0,1.0,5873.54,Debit,Charlotte,27.215.118.94,Branch,Doctor,2
485.51,76.0,37.0,1.0,3074.45,Credit,Milwaukee,91.204.200.167,Online,Retired,0
547.87,64.0,131.0,1.0,6155.76,Debit,Columbus,188.205.152.176,ATM,Retired,1
457.29999999999995,28.0,15.0,1.0,8318.29,Debit,Virginia Beach,62.27.235.199,Online,Engineer,2
506.24,58.0,64.0,1.0,230.09000000000015,Debit,Chicago,136.104.90.223,ATM,Engineer,0
486.59,57.0,119.0,1.0,2513.56,Debit,Indianapolis,129.102.184.189,Branch,Retired,3
581.65,22.0,176.0,1.0,480.1899999999996,Debit,Boston,80.92.209.207,ATM,Student,3
52.00999999999999,48.0,85.0,1.0,1120.88,Debit,Mesa,178.34.103.183,ATM,Doctor,0
630.24,21.0,62.0,1.0,370.8100000000004,Debit,Boston,12.246.170.239,ATM,Student,0
217.5,46.0,35.0,1.0,3057.4,Credit,Denver,101.90.40.193,Branch,Engineer,0
54.03,56.0,161.0,1.0,6736.3,Credit,Milwaukee,161.25.82.11,ATM,Retired,1
736.73,48.0,10.0,1.0,3313.07,Debit,Memphis,107.247.202.71,Branch,Engineer,0
368.91,54.0,14.0,1.0,829.71,Debit,Virginia Beach,218.238.171.184,Branch,Doctor,0
33.06,53.0,170.0,1.0,1540.87,Credit,Fort Worth,63.67.150.226,Online,Retired,3
66.5,32.0,144.0,1.0,6820.23,Credit,Louisville,13.88.251.53,Online,Engineer,1
588.54,32.0,130.0,1.0,714.4499999999998,Debit,Portland,211.97.88.141,Branch,Engineer,3
78.32999999999996,56.0,189.0,1.0,7255.33,Credit,Memphis,85.240.254.83,Online,Engineer,1
40.660000000000025,59.0,156.0,1.0,1153.8400000000006,Debit,Louisville,148.25.159.90,Branch,Retired,3
97.22,77.0,55.0,1.0,6647.73,Credit,Atlanta,188.205.152.176,Branch,Retired,2
34.06999999999999,22.0,81.0,1.0,8709.77,Debit,Philadelphia,29.168.185.63,Branch,Student,2
492.06,23.0,74.0,1.0,857.8999999999996,Debit,Fresno,60.166.231.236,Online,Student,0
842.01,53.0,185.0,1.0,509.4499999999998,Credit,Virginia Beach,62.152.134.92,Online,Doctor,3
73.55000000000001,51.0,158.0,1.0,2812.06,Debit,Atlanta,196.121.240.10,ATM,Engineer,3
760.53,57.0,118.0,1.0,6179.91,Debit,Phoenix,177.116.108.246,Online,Engineer,2
273.08,26.0,134.0,1.0,6609.3,Credit,Houston,150.231.20.169,Branch,Engineer,1
371.69,67.0,143.0,1.0,3484.32,Debit,San Francisco,124.180.225.109,Branch,Retired,3
218.96,18.0,13.000000000000014,1.0,754.21,Debit,Seattle,52.196.112.199,ATM,Student,0
227.39,18.0,65.0,1.0,751.0900000000001,Debit,Atlanta,96.115.67.230,Online,Student,0
237.99,39.0,86.0,1.0,8510.09,Credit,Kansas City,168.55.35.243,Branch,Doctor,2
186.6,58.0,13.000000000000014,1.0,1508.7200000000003,Debit,Washington,52.1.78.30,Online,Doctor,0
341.15,18.0,148.0,1.0,511.3699999999999,Debit,San Jose,6.44.165.160,Online,Student,3
434.58,59.0,215.0,1.0,12648.32,Debit,Memphis,80.92.209.207,ATM,Doctor,1
312.88,54.0,44.0,1.0,233.21000000000004,Credit,Portland,201.114.165.141,Branch,Engineer,0
75.15,23.0,154.0,1.0,1092.92,Debit,Boston,135.29.211.116,ATM,Student,3
23.30000000000001,59.0,161.0,1.0,6711.15,Debit,Los Angeles,111.226.226.202,ATM,Engineer,1
47.379999999999995,25.0,61.0,1.0,459.3699999999999,Credit,Seattle,150.231.20.169,Online,Student,0
512.81,79.0,30.0,1.0,6994.34,Debit,Sacramento,82.75.200.117,Branch,Retired,2
488.15,43.0,168.0,1.0,7071.09,Debit,Louisville,81.102.230.41,Branch,Engineer,1
12.819999999999993,44.0,156.0,1.0,9045.19,Debit,Fort Worth,152.234.65.155,ATM,Engineer,1
535.91,43.0,22.0,1.0,9642.12,Debit,Las Vegas,104.80.232.55,Online,Engineer,2
270.72,26.0,53.0,1.0,6263.96,Credit,Washington,26.240.219.199,Online,Engineer,2
97.98000000000002,72.0,18.0,1.0,7460.33,Debit,Denver,211.42.9.0,Branch,Retired,2
196.08,61.0,98.0,1.0,4233.82,Debit,San Francisco,198.73.211.114,Online,Retired,0
251.18,42.0,246.0,1.0,8303.9,Debit,San Jose,134.222.122.238,ATM,Engineer,1
44.52000000000004,28.0,205.0,1.0,314.27999999999975,Debit,El Paso,89.21.156.229,Online,Student,3
178.87,35.0,180.0,1.0,5241.23,Debit,Baltimore,134.247.5.188,Online,Doctor,1
386.68,46.0,128.0,1.0,6863.06,Debit,New York,207.157.126.125,Branch,Doctor,1
167.14,76.0,20.0,1.0,3877.73,Debit,Denver,125.89.163.224,Online,Retired,0
345.22,69.0,253.0,1.0,4046.58,Debit,Fresno,164.75.163.220,Branch,Retired,3
74.85,72.0,117.0,1.0,2409.73,Debit,Raleigh,191.82.103.198,ATM,Retired,3
671.73,58.0,54.0,1.0,5211.88,Debit,Washington,112.56.160.202,Branch,Engineer,2
255.04,45.0,152.0,1.0,6217.86,Debit,Seattle,98.39.212.221,ATM,Engineer,1
45.77000000000001,25.0,109.0,1.0,5978.12,Debit,Philadelphia,85.239.236.80,Online,Student,2
329.69,26.0,66.0,1.0,1671.6599999999999,Credit,San Antonio,146.69.70.214,Online,Student,0
362.04,58.0,198.0,2.0,8421.88,Credit,Philadelphia,52.1.78.30,Branch,Doctor,1
47.41999999999999,64.0,28.0,1.0,8253.52,Debit,San Diego,41.0.10.107,ATM,Doctor,2
35.99000000000001,63.0,129.0,1.0,4489.79,Debit,Miami,162.207.77.170,Branch,Retired,3
151.19,37.0,96.0,1.0,11903.82,Credit,New York,217.233.219.196,Branch,Doctor,2
242.62,22.0,234.0,1.0,483.02000000000044,Credit,San Francisco,138.87.180.254,Online,Student,3
48.72,21.0,17.0,1.0,816.0799999999999,Debit,Virginia Beach,158.135.64.240,Branch,Student,0
43.46000000000001,25.0,80.0,1.0,578.0599999999995,Debit,Boston,21.190.11.223,ATM,Student,0
443.78999999999996,53.0,87.0,1.0,3133.8499999999995,Debit,Las Vegas,198.39.35.23,ATM,Retired,0
365.14,68.0,57.0,1.0,5894.09,Debit,Dallas,173.232.121.213,Online,Retired,2
757.41,22.0,37.0,1.0,9532.42,Debit,Los Angeles,125.89.163.224,ATM,Student,2
20.54000000000002,51.0,72.0,1.0,5327.03,Debit,Fort Worth,171.101.134.74,Branch,Engineer,2
475.36,34.0,105.0,1.0,2000.6,Debit,Phoenix,132.127.5.187,ATM,Engineer,0
34.74000000000001,56.0,24.0,1.0,6827.57,Debit,San Francisco,82.88.241.226,ATM,Retired,2
689.54,27.0,93.0,1.0,1633.7600000000002,Debit,Oklahoma City,89.6.100.149,Branch,Student,0
211.18,73.0,90.0,1.0,4069.17,Debit,Washington,64.89.183.39,ATM,Retired,0
744.41,39.0,107.0,1.0,8842.47,Credit,Houston,24.181.236.233,Online,Engineer,2
61.43000000000001,24.0,170.0,1.0,1882.77,Debit,Phoenix,14.200.197.126,Online,Student,3
167.44,37.0,82.0,1.0,12526.71,Debit,Mesa,166.7.230.111,Branch,Doctor,2
361.46,21.0,83.0,1.0,4737.84,Debit,Nashville,171.150.178.172,Online,Student,0
378.85,78.0,126.0,1.0,2300.53,Debit,Virginia Beach,192.95.36.246,Branch,Retired,3
241.11,30.0,55.0,1.0,12385.05,Debit,Columbus,195.164.171.146,Branch,Doctor,2
131.93,31.0,13.000000000000014,1.0,4547.06,Credit,Fort Worth,216.32.4.105,Branch,Engineer,0
20.28000000000003,36.0,213.0,1.0,2047.83,Debit,Oklahoma City,150.83.4.238,Online,Engineer,3
415.88,70.0,170.0,1.0,10008.33,Debit,San Diego,152.140.239.181,Branch,Doctor,1
49.99000000000001,62.0,139.0,1.0,2299.64,Debit,Omaha,155.140.33.42,ATM,Retired,3
485.54,19.0,148.0,1.0,1533.3199999999997,Debit,Louisville,121.67.144.20,Online,Student,3
321.15,46.0,179.0,1.0,7005.05,Debit,Los Angeles,200.164.13.160,Branch,Doctor,1
711.3,21.0,51.0,1.0,955.3999999999996,Debit,San Jose,109.42.41.157,Branch,Student,0
12.230000000000018,42.0,139.0,1.0,7844.88,Debit,Houston,23.92.205.75,ATM,Engineer,1
350.94,20.0,64.0,1.0,221.5600000000004,Debit,Colorado Springs,100.137.90.188,ATM,Student,0
301.85,54.0,25.0,1.0,6586.19,Debit,Columbus,55.154.161.250,Online,Engineer,2
29.339999999999975,65.0,30.0,1.0,3944.82,Debit,Louisville,40.198.240.246,Online,Retired,0
231.71,27.0,148.0,1.0,1127.98,Debit,Raleigh,26.105.49.129,Branch,Student,3
179.43,58.0,244.0,1.0,2626.63,Debit,Oklahoma City,189.198.67.252,ATM,Retired,3
36.70999999999998,48.0,55.0,1.0,6459.38,Debit,Jacksonville,166.7.230.111,Branch,Doctor,2
233.24,33.0,72.0,1.0,6939.23,Debit,Louisville,45.241.13.208,ATM,Engineer,2
609.14,39.0,177.0,1.0,9033.87,Debit,Tucson,201.113.165.203,ATM,Engineer,1
